ticker,date,pd_gbm,pd_jump_rolling,pd_regime_jump,label
MSFT,2024-02-28 05:00:00,1.522513921274098e-50,0.0,0.0,0.0
MSFT,2024-03-28 04:00:00,2.3526128904837803e-53,0.0,0.0,0.0
MSFT,2024-04-29 04:00:00,3.733206804440017e-59,0.0,0.0,0.0
MSFT,2024-05-30 04:00:00,4.3871576369147065e-59,0.0,0.0,0.0
MSFT,2024-06-28 04:00:00,4.6180392926682396e-66,0.0,0.0,0.0
MSFT,2024-07-30 04:00:00,9.830192822605678e-62,0.0,0.0,0.0
MSFT,2024-08-30 04:00:00,1.896561181003976e-60,0.0,0.0,0.0
MSFT,2024-09-27 04:00:00,6.849977064814188e-62,0.0,0.0,0.0
MSFT,2024-10-30 04:00:00,8.63795772689112e-69,0.0,0.0,0.0
MSFT,2024-11-29 05:00:00,3.4384140191661074e-62,0.0,0.0,0.0
MSFT,2024-12-30 05:00:00,4.6081272813353076e-60,0.0,0.0,0.0
MSFT,2025-01-30 05:00:00,9.445602664882461e-51,0.0,0.0,0.0
MSFT,2025-02-27 05:00:00,2.1863075855747625e-51,0.0,0.0,0.0
MSFT,2025-03-28 04:00:00,1.0038349993284266e-48,0.0,0.0,0.0
MSFT,2025-04-29 04:00:00,1.8203511251556795e-38,0.0,0.0,0.0
MSFT,2025-05-30 04:00:00,5.938459830076402e-39,0.0,0.0,0.0
MSFT,2025-06-27 04:00:00,2.6142200184964273e-41,0.0,0.0,0.0
JNJ,2023-01-30 05:00:00,6.166771863664062e-37,0.0,0.0,0.0
JNJ,2023-02-27 05:00:00,3.6478591376167776e-36,0.0,0.0,0.0
JNJ,2023-03-30 04:00:00,6.392434496829903e-40,0.0,0.0,0.0
JNJ,2023-04-28 04:00:00,1.2260493590684035e-40,0.0,0.0,0.0
JNJ,2023-05-30 04:00:00,3.85323844559893e-42,0.0,0.0,0.0
JNJ,2023-06-29 04:00:00,5.024746127468501e-48,0.0,0.0,0.0
JNJ,2023-07-28 04:00:00,1.6865077704515892e-44,0.0,0.0,0.0
JNJ,2023-08-30 04:00:00,6.110727830970408e-40,0.0,0.0,0.0
JNJ,2023-09-29 04:00:00,6.800564357371853e-41,0.0,0.0,0.0
JNJ,2023-10-30 04:00:00,4.375371125082303e-40,0.0,0.0,0.0
JNJ,2023-11-29 05:00:00,1.2945645675895893e-42,0.0,0.0,0.0
JNJ,2023-12-29 05:00:00,3.9914634049411764e-42,0.0,0.0,0.0
JNJ,2024-01-30 05:00:00,7.452171189535157e-45,0.0,0.0,0.0
JNJ,2024-02-28 05:00:00,7.705887579004726e-49,0.0,0.0,0.0
JNJ,2024-03-28 04:00:00,2.277784012566391e-49,0.0,0.0,0.0
JNJ,2024-04-29 04:00:00,3.7597834478644123e-51,0.0,0.0,0.0
JNJ,2024-05-30 04:00:00,4.233393839424052e-44,0.0,0.0,0.0
JNJ,2024-06-28 04:00:00,2.35150733626836e-44,0.0,0.0,0.0
JNJ,2024-07-30 04:00:00,4.439347708760843e-48,0.0,0.0,0.0
JNJ,2024-08-30 04:00:00,9.757336106882452e-53,0.0,0.0,0.0
JNJ,2024-09-27 04:00:00,1.5824554921158796e-52,0.0,0.0,0.0
JNJ,2024-10-30 04:00:00,6.224951945303002e-54,0.0,0.0,0.0
JNJ,2024-11-29 05:00:00,1.0145209112959008e-52,0.0,0.0,0.0
JNJ,2024-12-30 05:00:00,1.7458348644336097e-50,0.0,0.0,0.0
JNJ,2025-01-30 05:00:00,4.081319562645154e-43,0.0,0.0,0.0
JNJ,2025-02-27 05:00:00,1.3741727747750021e-43,0.0,0.0,0.0
JNJ,2025-03-28 04:00:00,7.1598669625344884e-43,0.0,0.0,0.0
JNJ,2025-04-29 04:00:00,1.0672136715407088e-31,0.0,0.0,0.0
JNJ,2025-05-30 04:00:00,1.7220655544066084e-32,0.0,0.0,0.0
JNJ,2025-06-27 04:00:00,6.877369820112656e-32,0.0,0.0,0.0
F,2023-01-30 05:00:00,0.0100618902837035,0.09255,0.07398,0.0
